Datetime,BTC-USD,ETH-USD
2023-11-09 14:38:00+00:00,37651.59765625,1943.3653564453125
2023-11-09 14:39:00+00:00,37619.78125,1942.0
2023-11-09 14:40:00+00:00,37630.26953125,1942.2413330078125
2023-11-09 14:41:00+00:00,37643.74609375,1943.0792236328125
2023-11-09 14:42:00+00:00,37664.71484375,1943.5181884765625
2023-11-09 14:43:00+00:00,37679.25,1943.0089111328125
2023-11-09 14:44:00+00:00,37663.83984375,1943.2830810546875
2023-11-09 14:45:00+00:00,37674.88671875,1943.3077392578125
2023-11-09 14:46:00+00:00,37717.6640625,1945.267578125
2023-11-09 14:47:00+00:00,37635.00390625,1940.212646484375
2023-11-09 14:48:00+00:00,37703.4140625,1942.4908447265625
2023-11-09 14:49:00+00:00,37737.765625,1945.0361328125
2023-11-09 14:50:00+00:00,37778.90234375,1945.74560546875
2023-11-09 14:51:00+00:00,37722.5546875,1944.337890625
2023-11-09 14:52:00+00:00,37792.28125,1950.2677001953125
2023-11-09 14:53:00+00:00,37918.33203125,1977.286865234375
2023-11-09 14:54:00+00:00,37926.2578125,1975.58154296875
2023-11-09 14:55:00+00:00,37904.1328125,1976.281494140625
2023-11-09 14:56:00+00:00,37905.3828125,1982.994140625
2023-11-09 14:57:00+00:00,37810.3671875,1974.1331787109375
2023-11-09 14:58:00+00:00,37856.52734375,1981.345947265625
2023-11-09 14:59:00+00:00,37868.8125,1984.4776611328125
2023-11-09 15:00:00+00:00,37888.96484375,1988.8385009765625
2023-11-09 15:01:00+00:00,37882.40234375,1987.6641845703125
2023-11-09 15:02:00+00:00,37902.05078125,1998.53076171875
2023-11-09 15:03:00+00:00,37860.68359375,2000.44140625
2023-11-09 15:04:00+00:00,37786.99609375,1993.4451904296875
2023-11-09 15:05:00+00:00,37755.59375,1995.72998046875
2023-11-09 15:06:00+00:00,37693.58984375,1995.4576416015625
2023-11-09 15:07:00+00:00,37755.05078125,2004.5009765625
2023-11-09 15:08:00+00:00,37797.7890625,2013.6800537109375
2023-11-09 15:09:00+00:00,37818.859375,2019.4583740234375
2023-11-09 15:10:00+00:00,37844.78515625,2034.337646484375
2023-11-09 15:11:00+00:00,37821.71484375,2031.7890625
2023-11-09 15:12:00+00:00,37847.2578125,2035.45556640625
2023-11-09 15:13:00+00:00,37756.984375,2028.75341796875
2023-11-09 15:14:00+00:00,37666.10546875,2020.9212646484375
2023-11-09 15:15:00+00:00,37723.4375,2027.5372314453125
2023-11-09 15:16:00+00:00,37695.91796875,2031.383544921875
2023-11-09 15:17:00+00:00,37744.75,2043.12744140625
2023-11-09 15:18:00+00:00,37739.6484375,2044.9920654296875
2023-11-09 15:19:00+00:00,37667.25,2042.677001953125
2023-11-09 15:20:00+00:00,37637.14453125,2041.2076416015625
2023-11-09 15:21:00+00:00,37678.28125,2045.5159912109375
2023-11-09 15:22:00+00:00,37634.04296875,2042.372314453125
2023-11-09 15:23:00+00:00,37601.18359375,2038.398681640625
2023-11-09 15:24:00+00:00,37556.96875,2036.6807861328125
2023-11-09 15:25:00+00:00,37557.66015625,2033.6749267578125
2023-11-09 15:26:00+00:00,37451.86328125,2023.737060546875
2023-11-09 15:27:00+00:00,37406.66015625,2023.44970703125
2023-11-09 15:28:00+00:00,37319.23046875,2014.6165771484375
2023-11-09 15:29:00+00:00,37303.06640625,2016.5333251953125
2023-11-09 15:30:00+00:00,37299.03125,2011.3284912109375
2023-11-09 15:31:00+00:00,37374.0859375,2017.0606689453125
2023-11-09 15:32:00+00:00,37398.97265625,2020.269287109375
2023-11-09 15:33:00+00:00,37463.5859375,2024.5985107421875
2023-11-09 15:34:00+00:00,37474.9921875,2023.1048583984375
2023-11-09 15:35:00+00:00,37417.83203125,2023.167236328125
2023-11-09 15:36:00+00:00,37459.8515625,2026.5916748046875
2023-11-09 15:37:00+00:00,37502.3125,2037.1025390625
2023-11-09 15:38:00+00:00,37480.09765625,2036.1590576171875
2023-11-09 15:39:00+00:00,37497.7734375,2038.608154296875
2023-11-09 15:40:00+00:00,37494.67578125,2036.7720947265625
2023-11-09 15:41:00+00:00,37455.09375,2037.8497314453125
2023-11-09 15:42:00+00:00,37462.0703125,2037.26611328125
2023-11-09 15:43:00+00:00,37435.4921875,2043.927490234375
2023-11-09 15:44:00+00:00,37415.82421875,2040.6597900390625
2023-11-09 15:45:00+00:00,37408.6875,2039.4713134765625
2023-11-09 15:46:00+00:00,37400.3359375,2041.208984375
2023-11-09 15:47:00+00:00,37404.30859375,2042.4298095703125
2023-11-09 15:48:00+00:00,37392.13671875,2038.3577880859375
2023-11-09 15:49:00+00:00,37384.1328125,2040.0523681640625
2023-11-09 15:50:00+00:00,37314.9140625,2034.65966796875
2023-11-09 15:51:00+00:00,37308.37109375,2036.4427490234375
2023-11-09 15:52:00+00:00,37336.90234375,2040.22998046875
2023-11-09 15:53:00+00:00,37354.84765625,2042.4862060546875
2023-11-09 15:54:00+00:00,37334.91796875,2040.2901611328125
2023-11-09 15:55:00+00:00,37364.015625,2043.8525390625
2023-11-09 15:56:00+00:00,37234.703125,2038.325439453125
2023-11-09 15:57:00+00:00,37217.6171875,2041.642333984375
2023-11-09 15:58:00+00:00,37207.72265625,2044.6075439453125
2023-11-09 15:59:00+00:00,37113.6484375,2040.1177978515625
2023-11-09 16:00:00+00:00,37100.9375,2035.325927734375
2023-11-09 16:01:00+00:00,37160.234375,2042.4486083984375
2023-11-09 16:02:00+00:00,37177.2421875,2042.934326171875
2023-11-09 16:03:00+00:00,37203.9765625,2046.683837890625
2023-11-09 16:04:00+00:00,37155.046875,2042.091552734375
2023-11-09 16:05:00+00:00,37077.28515625,2040.7838134765625
2023-11-09 16:06:00+00:00,37030.19140625,2040.588623046875
2023-11-09 16:07:00+00:00,37008.41796875,2038.95947265625
2023-11-09 16:08:00+00:00,36901.7109375,2034.087646484375
2023-11-09 16:09:00+00:00,36858.359375,2028.9573974609375
2023-11-09 16:10:00+00:00,36873.7265625,2030.3355712890625
2023-11-09 16:11:00+00:00,36805.640625,2028.931640625
2023-11-09 16:12:00+00:00,36655.6015625,2016.0521240234375
2023-11-09 16:13:00+00:00,36542.76171875,2006.587890625
2023-11-09 16:14:00+00:00,36374.81640625,1992.046630859375
2023-11-09 16:15:00+00:00,36538.15234375,2001.3525390625
2023-11-09 16:16:00+00:00,36668.24609375,2015.4661865234375
2023-11-09 16:17:00+00:00,36463.94921875,1994.5557861328125
2023-11-09 16:18:00+00:00,36523.515625,1998.4464111328125
2023-11-09 16:19:00+00:00,36652.26953125,2008.9180908203125
2023-11-09 16:20:00+00:00,36626.7578125,1999.5904541015625
2023-11-09 16:21:00+00:00,36574.1953125,1999.447265625
2023-11-09 16:22:00+00:00,36637.95703125,2007.9276123046875
2023-11-09 16:23:00+00:00,36626.78125,2011.2178955078125
2023-11-09 16:24:00+00:00,36568.828125,2009.145263671875
2023-11-09 16:25:00+00:00,36586.58984375,2011.1962890625
2023-11-09 16:26:00+00:00,36508.984375,2007.3406982421875
2023-11-09 16:27:00+00:00,36515.3515625,2008.3597412109375
2023-11-09 16:28:00+00:00,36386.9609375,2004.2108154296875
2023-11-09 16:29:00+00:00,36483.66796875,2006.585205078125
2023-11-09 16:30:00+00:00,36556.734375,2012.39501953125
2023-11-09 16:31:00+00:00,36542.6484375,2010.833984375
2023-11-09 16:32:00+00:00,36478.328125,2006.6939697265625
2023-11-09 16:33:00+00:00,36438.9453125,2003.45263671875
2023-11-09 16:34:00+00:00,36431.6171875,2004.2371826171875
2023-11-09 16:35:00+00:00,36428.41796875,2002.4788818359375
2023-11-09 16:36:00+00:00,36392.08203125,2000.040283203125
2023-11-09 16:37:00+00:00,35893.9140625,1991.8387451171875
2023-11-09 16:38:00+00:00,35974.515625,1998.49951171875
2023-11-09 16:39:00+00:00,36160.65234375,2004.8807373046875
2023-11-09 16:40:00+00:00,35989.9140625,1993.1116943359375
2023-11-09 16:41:00+00:00,36029.6484375,1992.6123046875
2023-11-09 16:42:00+00:00,36090.046875,1995.604736328125
2023-11-09 16:43:00+00:00,36150.984375,2000.26025390625
2023-11-09 16:44:00+00:00,36270.53125,2007.8074951171875
2023-11-09 16:45:00+00:00,36284.4140625,2010.91455078125
2023-11-09 16:46:00+00:00,36400.12890625,2014.011962890625
2023-11-09 16:47:00+00:00,36403.6328125,2016.9478759765625
2023-11-09 16:48:00+00:00,36396.34765625,2016.0789794921875
